#	Book Name	#Ch.	Total Vv.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	Avg. Vv/Ch
1	Genesis	50	1533	31	25	24	26	32	22	24	22	29	32	32	20	18	24	21	16	27	33	38	18	34	24	20	67	34	35	46	22	35	43	54	33	20	31	29	43	36	30	23	23	57	38	34	34	28	34	31	22	33	26	30.66
2	Exodus	40	1213	22	25	22	31	23	30	29	28	35	29	10	51	22	31	27	36	16	27	25	26	37	30	33	18	40	37	21	43	46	38	18	35	23	35	35	38	29	31	43	38	.	.	.	.	.	.	.	.	.	.	30.33
3	Leviticus	27	859	17	16	17	35	26	23	38	36	24	20	47	8	59	57	33	34	16	30	37	27	24	33	44	23	55	46	34	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	31.81
4	Numbers	36	1289	54	34	51	49	31	27	89	26	23	36	35	16	33	45	41	35	28	32	22	29	35	41	30	25	19*	65	23	31	39	17	54	42	56	29	34	13	.	.	.	.	.	.	.	.	.	.	.	.	.	.	35.81
5	Deuteronomy	34	959	46	37	29	49	33	25	26	20	29	22	32	31	19	29	23	22	20	22	21	20	23	29	26	22	19	19	26	69	28	20	30	52	29	12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	28.21

